iter	Passed	Remaining
415	3492	705
416	3497	696
417	3502	687
418	3531	682
419	3554	677
420	3573	670
421	3599	665
422	3626	660
423	3632	651
424	3636	641
425	3642	632
426	3647	623
427	3653	614
428	3659	605
429	3664	596
430	3670	587
431	3677	578
432	3683	569
433	3688	560
434	3693	551
435	3698	542
436	3702	533
437	3707	524
438	3714	516
439	3722	507
440	3726	498
441	3732	489
442	3737	480
443	3742	472
444	3748	463
445	3752	454
446	3759	445
447	3764	436
448	3769	428
449	3774	419
450	3781	410
451	3790	402
452	3798	394
453	3802	385
454	3806	376
455	3811	367
456	3817	359
457	3822	350
458	3829	342
459	3837	333
460	3843	325
461	3848	316
462	3854	308
463	3861	299
464	3868	291
465	3874	282
466	3879	274
467	3883	265
468	3888	256
469	3891	248
470	3900	240
471	3907	231
472	3913	223
473	3919	215
474	3924	206
475	3930	198
476	3934	189
477	3940	181
478	3946	173
479	3951	164
480	3957	156
481	3963	148
482	3971	139
483	3975	131
484	3980	123
485	3988	114
486	3994	106
487	4028	99
488	4102	92
489	4124	84
490	4127	75
491	4132	67
492	4135	58
493	4139	50
494	4143	41
495	4146	33
496	4149	25
497	4153	16
498	4158	8
499	4161	0
0
