iter	Logloss
0	0.6570038494
1	0.6257401032
2	0.5847811565
3	0.5477169079
4	0.5322388693
5	0.5093945455
6	0.4779285345
7	0.4656484491
8	0.4526129107
9	0.4403642993
10	0.4287021834
11	0.4153502465
12	0.4072316444
13	0.3973427143
14	0.3891195499
15	0.3846952108
16	0.3796111979
17	0.3714336787
18	0.3616300718
19	0.3532211125
20	0.3473355034
21	0.3421003361
22	0.3352983502
23	0.3320169649
24	0.3290106512
25	0.3267623381
26	0.3227055525
27	0.3188060783
28	0.3121394316
29	0.3091627346
30	0.3069553053
31	0.3023327097
32	0.298729453
33	0.2949983
34	0.2930585348
35	0.2911813343
36	0.2902860817
37	0.2860252108
38	0.2833871966
39	0.2813857558
40	0.2786740754
41	0.2768633487
42	0.2739163754
43	0.2724198829
44	0.2692088992
45	0.2669433073
46	0.2651651031
47	0.2634425175
48	0.2606974563
49	0.2583095901
50	0.2560474532
51	0.2543851399
52	0.251513236
53	0.2494929552
54	0.2466360661
55	0.2458151152
56	0.2438937452
57	0.2422631986
58	0.2394856772
59	0.2367741534
60	0.2345966149
61	0.2326563306
62	0.231200519
63	0.2295138375
64	0.2278285197
65	0.2258376434
66	0.2233453632
67	0.2218888422
68	0.2201852238
69	0.2184757095
70	0.2163033471
71	0.2152119231
72	0.2138926818
73	0.2120276677
74	0.2108132061
75	0.2092928569
76	0.2074658897
77	0.2058545684
78	0.2047106043
79	0.2033554543
80	0.2015644132
81	0.200353018
82	0.1987775663
83	0.1979403287
84	0.1961991319
85	0.1944292422
86	0.1934150918
87	0.1914490898
88	0.1892428419
89	0.1882466975
90	0.1873985888
91	0.1867797045
92	0.1859507328
93	0.1847938535
94	0.1829948303
95	0.1814364822
96	0.1805621032
97	0.1790089611
98	0.17736108
99	0.1755352823
100	0.17402132
10101	0.1721388841
102	0.1706684385
103	0.1689508292
104	0.1674986559
105	0.1665532268
106	0.1649499196
107	0.164171631
108	0.1632083127
109	0.1621960242
110	0.1608648452
111	0.1599671649
112	0.1586415146
113	0.1580960805
114	0.1567330789
115	0.1558206432
116	0.1542709412
117	0.1532915895
118	0.1523797315
119	0.1510129795
120	0.149634699
121	0.1485052918
122	0.1471389682
123	0.146186530124	0.144644686125	125	0.1440938126	126	0.1428876127	127	0.1421344128	0.1554625527
129129	0.13911058130	0.1536361327
13131	0.136831744132	0.1503709552
133	0.1495125465
134	0.1481893806
1135	0.13262063781136	0.131879576
137	0.1302647087
138	0.12906602921139	0.12776452121140	0.12675130281141	0.12532153041142	0.12413282831143	0.122662528
144	0.12192696
145	0.1212360242
14146	0.1340085147	147	0.1330010148	0.1183770601
149	149	0.1162972179
150	0.1156113546
151	0.1143344731
152	0.1138249463
153	0.1124938157
154	0.1109520577
155	0.1095974152
156	0.1080572412
157	0.1065702806
158	0.105608198
159	0.1041959261160	0.119320351611161	0.1022086133
162	0.1016711631
163	0.1008429164	164	0.099888116165	0.11456362166166	0.11364248167	0.0992910535
168168	0.112203322169	0.09751123929
170	0.09674307526
171	0.09591320522
172	0.09542293789
173	0.094845266
174	0.09404907045
175	0.0930161126
176	0.09215919182
177	0.09141794842
178	0.09055650964
179	0.08984557013
180	0.08912754453
181	0.088182	0.099182	0.087183	0.098183	0.086184	0.097184	0.085185	0.097185	0.084186	0.096186	0.083187	0.095187	0.082188	0.094188	0.08189	0.0932189	0.0190	0.0923190	0.08191	0.0913191	0.07192	0.0903192	0.0193	0.08972193	0.07745550178
194	0.07663126147
195	0.07581321155
196	0.0751977032
197	0.07476016628
198	0.07414619414
199	0.07360389778
200	0.07284771757
201	0.07201321154
202	0.07156355335
203	0.07096908033
204	0.07034408517
205	0.06978247679
206	0.06924104859
207	0.06858341528
208	0.06803204708
209	0.0674164262
210	0.06670630601
211	0.06619251811
212	0.06564393032
213	0.0648083023
214	0.06429067489
215	0.06351697177
216	0.06296901569
217	0.06246734148
218	0.06183660599
219	0.06131968351
220	0.06078287127
221	0.0600152707
222	0.05930890017
223	0.05893492471
224	0.0584166515
225	0.05791539391
226	0.05734677623
227	0.056947338
228	0.05656420815
229	0.05613565359
230	0.05551025703
231	0.05520394352
232	0.05474871314
233	0.05442873892
234	0.05394095331
235	0.0534900475
236	0.05295224258
237	0.05253395555
238	0.05218830672
239	0.05181749911
240	0.05132319215
241	0.05098347308
242	0.05059572127
243	0.05009657026
244	0.049504595
245	0.04916515194
246	0.04891726377
247	0.04864941672
248	0.04837391997
249	0.04806752582
250	0.04751138592
251	0.04714506993
252	0.04685590567
253	0.04641105668
254	0.04599488018
255	0.04574844348
256	0.04534278581
257	0.04491341737
258	0.04449720096
259	0.04430356186
260	0.04394658541
261	0.04360313692
262	0.04321721969
263	0.04287095407
264	0.0424561874
265	0.04222911932
266	0.04183865011
267	0.04156878161
268	0.04127680272
269	0.04097115813
270	0.04055092499
271	0.04035114
272	0.0399634882
273	0.03970617713
274	0.03952993286
275	0.03929014357
276	0.03914259331
277	0.03888960771
278	0.03859585798
279	0.03813560673
280	0.03785048855
281	0.0376892673
282	0.03754629737
283	0.03730160481
284	0.03707917622
285	0.03680414358
286	0.03647500148
287	0.03631701198
288	0.03603653632
289	0.03586744605
290	0.03562537893
291	0.03545523352
292	0.03525074265
293	0.03497809137
294	0.03472709344
295	0.03455246658
296	0.03435881673
297	0.03415129885
298	0.03391174293
299	0.03371151365
300	0.0335163387
301	0.03327001483
302	0.03308381442
303	0.03292185007
304	0.0327173765
305	0.03253995336
306	0.03230865148
307	0.03220347775
308	0.03206563866
309	0.03183071245
310	0.0316732728
311	0.03155992031
312	0.03141777104
313	0.03121245539
314	0.0310678311
315	0.03085808575
316	0.03074465126
317	0.03054873764
318	0.0303669692
319	0.0301444031
320	0.02999230362
321	0.02970995164
322	0.02952434933
323	0.02941638572
324	0.02920580693
325	0.02899285322
326	0.028847327	0.327	0.028703328	0.328	0.028577329	0.329	0.02843728284
330	0.02823354199
331	0.02811561921
332	0.02798677684
333	0.02787597681
334	0.02776124442
335	0.02763929821
336	0.02743661057
337	0.02732369791
338	0.02719020129
339	0.02708318107
340	0.02696557341
341	0.02674292014
342	0.02659924411
343	0.02645652409
344	0.02631510646
345	0.02618302317
346	0.02604458186
347	0.02591054357
348	0.0258231748
349	0.02565990976
350	0.02559411324
351	0.025484306
352	0.02538571544
353	0.02522941664
354	0.02507440901
355	0.02494924142
356	0.02478153034
357	0.02468054456
358	0.02460071041
359	0.0245268192
360	0.0244525447
361	0.02432345961
362	0.02421415842
363	0.02413929163
364	0.02399952067
365	0.02384502273
366	0.02374198323
367	0.02366070634
368	0.0234789939
369	0.02338883016
370	0.02327102404
371	0.02317462639
372	0.02311438492
373	0.02305275913
374	0.02295491049
375	0.02282191935
376	0.02274745515
377	0.02263512248
378	0.02255089706
379	0.0224715392
380	0.02240032291
381	0.0223172227
382	0.02225064896
383	0.02213143151
384	0.02204937224
385	0.02192824913
386	0.02184469767
387	0.02178871034
388	0.02171133697
389	0.02159317259
390	0.02150132507
391	0.02139633666
392	0.02131780619
393	0.02125414094
394	0.02113239205
395	0.02108278896
396	0.02097223533
397	0.02088036067
398	0.02079993422
399	0.02072276115
400	0.02063137597
401	0.02058419546
402	0.02047691138
403	0.02039731355
404	0.02031244052
405	0.02020606498
406	0.02014801302
407	0.02007311013
408	0.02002739499
409	0.01999659736
410	0.01991775733
411	0.01985798374
412	0.01978467303
413	0.01969945142
414	0.01965260971
415	0.01959409883
416	0.0195441584
417	0.01949305138
418	0.01944363251
419	0.01938476245
420	0.01928087244
421	0.01922025835
422	0.01916704768
423	0.01909666858
424	0.01903993792
425	0.01899039059
426	0.01893118967
427	0.01888374072
428	0.01881972076
429	0.01877523472
430	0.01874484363
431	0.01871434691
432	0.01868234963
433	0.01863294687
434	0.0185716056
435	0.01852211189
436	0.01848336747
437	0.01844600441
438	0.01839153354
439	0.01833976858
440	0.01829538303
441	0.01823026329
442	0.0181739083
443	0.01810562872
444	0.01805459187
445	0.01800827287
446	0.01794824854
447	0.01789990738
448	0.01784879106
449	0.01781788675
450	0.01777941045
451	0.01772246342
452	0.0176885986
453	0.01764796215
454	0.01761366514
455	0.01756368624
456	0.01753218508
457	0.01748671268
458	0.01743410472
459	0.01740672785
460	0.01736789341
461	0.01732686699
462	0.01727436343
463	0.01723579826
464	0.01717237231
465	0.0171113034
466	0.01708219886
467	0.01701610786
468	0.01696194764
469	0.01690871964
470	0.01686838203
471	0.01680457121
472	0.01678611462
473	0.0167524342
474	0.01669178154
475	0.01665910292
476	0.01662001531
477	0.01659512813
478	0.0165527065
479	0.01652405886
480	0.01650575779
481	0.01647011643
482	0.01642439781
483	0.01640376977
484	0.01634599021
485	0.01631229074
486	0.01627235139
487	0.01623417998
488	0.01619580019
489	0.01617642347
490	0.01614706943
491	0.01611035612
492	0.01608617677
493	0.01604648286
494	0.01601193045
