Model,Accuracy,Precision,Recall,F1,ROC AUC
logistic_regression,0.7770700636942676,0.7,0.7459016393442623,0.7222222222222222,0.8803790983606558
random_forest,0.7738853503184714,0.7383177570093458,0.6475409836065574,0.6899563318777293,0.8609545765027322
gradient_boosting,0.7738853503184714,0.7475728155339806,0.6311475409836066,0.6844444444444444,0.8835382513661203
xgboost,0.7802547770700637,0.7523809523809524,0.6475409836065574,0.6960352422907489,0.8883196721311475
lightgbm,0.7898089171974523,0.7641509433962265,0.6639344262295082,0.7105263157894737,0.8878500683060109
svm,0.7834394904458599,0.7410714285714286,0.680327868852459,0.7094017094017094,0.8801016051912568
knn,0.7707006369426752,0.75,0.6147540983606558,0.6756756756756757,0.8414873633879782
decision_tree,0.7643312101910829,0.7222222222222222,0.639344262295082,0.6782608695652174,0.7683358948087433
